region,price,year,manufacturer,model,condition,cylinders,fuel,transmission,drive,type,odometer_bins
others,19988,2016,cadillac,ats awd,good,5,gas,automatic,4wd,other,20k-50k
others,12900,1999,ford,f350 super duty,excellent,10,gas,automatic,4wd,truck,150k-200k
others,10000,2015,volkswagen,jetta,excellent,4,gas,automatic,fwd,sedan,100k-150k
others,21518,2006,toyota,sienna le,good,6,gas,automatic,fwd,mini-van,200k-300k
others,16900,2015,ford,f250,excellent,8,gas,automatic,4wd,truck,150k-200k
others,21518,2006,honda,cr-v,excellent,4,gas,automatic,4wd,SUV,200k-300k
others,19581,2008,others,grand marquis,good,8,gas,automatic,rwd,sedan,20k-50k
others,38950,2018,ford,f-150,good,6,gas,automatic,4wd,sedan,50k-100k
others,21518,2004,dodge,sprinter 3500,fair,4,diesel,automatic,4wd,sedan,100k-150k
SF bay area,19581,2019,honda,odyssey,good,6,gas,automatic,fwd,van,20k-50k
others,19581,2006,honda,accord ex,good,6,gas,automatic,fwd,sedan,300k-400k
others,34995,2018,ram,1500,good,5,gas,automatic,rwd,sedan,100k-150k
others,19788,2015,dodge,charger sxt,excellent,6,gas,automatic,4wd,other,50k-100k
others,21590,2013,bmw,3 series 335i xdrive sedan,good,5,gas,other,4wd,sedan,50k-100k
spokane / coeur d'alene,16500,2006,toyota,4runner,good,5,gas,automatic,4wd,sedan,150k-200k
others,19581,2007,toyota,prius hybrid,good,4,hybrid,automatic,fwd,sedan,150k-200k
others,8000,2012,nissan,maxima,excellent,6,gas,automatic,fwd,sedan,150k-200k
others,21518,1989,ford,f450,good,5,diesel,manual,4wd,sedan,0-20k
others,37990,2020,cadillac,xt4 sport suv 4d,good,5,gas,other,4wd,hatchback,0-20k
others,19581,2003,others,century,fair,5,gas,automatic,fwd,sedan,100k-150k
san diego,19581,2003,honda,element,good,5,gas,automatic,4wd,SUV,150k-200k
SF bay area,7488,2008,volkswagen,beetle,like new,5,gas,automatic,fwd,coupe,50k-100k
others,21518,2002,chevrolet,tahoe,excellent,5,gas,automatic,rwd,SUV,200k-300k
others,24800,2013,ford,f150 lariat supercrew 4x4,excellent,8,gas,automatic,4wd,truck,100k-150k
others,31995,2012,ram,chassis cab,good,5,diesel,automatic,fwd,other,200k-300k
austin,31590,2017,jeep,wrangler unlimited sport,good,6,gas,other,4wd,other,20k-50k
others,19995,2011,ram,1500,good,5,gas,automatic,4wd,truck,150k-200k
others,37999,2016,nissan,titan xd pro-4x,good,8,diesel,automatic,4wd,truck,100k-150k
seattle-tacoma,10990,2001,ford,ranger,good,5,gas,automatic,4wd,pickup,100k-150k
others,19581,2004,toyota,sienna le fwd,fair,6,gas,automatic,fwd,van,150k-200k
stockton,34995,2019,ford,transit,good,6,gas,automatic,rwd,van,20k-50k
others,9200,2013,chevrolet,malibu lt,good,5,gas,automatic,4wd,sedan,50k-100k
others,21518,2008,toyota,rav4,good,5,gas,automatic,4wd,sedan,150k-200k
others,33995,2015,ford,f-150,good,6,gas,automatic,4wd,truck,50k-100k
others,16900,2010,chevrolet,tahoe ltz,good,5,gas,automatic,4wd,sedan,100k-150k
denver,18990,2019,honda,fit sport hatchback 4d,good,5,gas,other,fwd,hatchback,0-20k
others,13700,2012,honda,cr-v,good,4,gas,automatic,4wd,SUV,100k-150k
others,19581,2015,gmc,sierra 1500,good,8,gas,automatic,4wd,truck,20k-50k
others,18750,2005,ford,"GMC, Ford, Freightliner & More",good,5,diesel,automatic,4wd,sedan,150k-200k
orlando,30590,2019,ford,Genesis G70 2.0T Advanced Sedan,good,5,other,other,4wd,sedan,20k-50k
others,19581,2014,ford,focus se,good,5,gas,automatic,4wd,sedan,500k+
los angeles,19581,2006,audi,a4,good,4,gas,automatic,4wd,sedan,100k-150k
others,41995,2014,chevrolet,silverado ltz 6.2l,excellent,8,gas,automatic,4wd,pickup,50k-100k
pittsburgh,38990,2014,toyota,fj cruiser sport utility,good,6,gas,other,4wd,other,50k-100k
others,41999,2017,ford,f150 xlt fx4 4x4 1/2 ton,good,5,gas,automatic,4wd,truck,50k-100k
others,39590,2020,dodge,charger r/t sedan 4d,good,8,gas,other,rwd,sedan,0-20k
jacksonville,33990,2018,gmc,sierra 1500 double cab sle,good,6,gas,other,4wd,pickup,20k-50k
others,21518,2000,gmc,2500,fair,8,gas,automatic,4wd,pickup,50k-100k
others,19581,2010,others,mariner,good,4,gas,automatic,fwd,SUV,100k-150k
others,16590,2015,volkswagen,beetle 1.8t fleet,good,5,gas,other,fwd,hatchback,20k-50k
others,21518,2004,gmc,yukon,excellent,8,gas,automatic,4wd,sedan,200k-300k
others,16470,2015,chevrolet,camaro 2ls 2ls,excellent,6,gas,automatic,4wd,coupe,50k-100k
others,21950,2018,honda,civic ex,like new,4,gas,automatic,fwd,sedan,0-20k
portland,19581,2008,toyota,rav4 limited 4wd,good,5,gas,automatic,4wd,SUV,50k-100k
houston,45000,2004,ford,kenworth w900,excellent,5,diesel,manual,4wd,sedan,0-20k
rochester,9999,2003,chevrolet,tahoe lt,excellent,8,gas,automatic,4wd,SUV,150k-200k
others,31988,2017,bmw,5-series,good,5,gas,automatic,rwd,sedan,20k-50k
others,27938,2014,chevrolet,silverado 1500,good,8,gas,automatic,4wd,pickup,100k-150k
others,8000,2010,nissan,rogue,excellent,6,gas,automatic,4wd,sedan,100k-150k
others,18000,2011,ram,3500 dually,fair,8,diesel,automatic,4wd,truck,200k-300k
atlanta,7995,2002,mercedes-benz,benz cl-500,good,8,gas,automatic,rwd,coupe,200k-300k
others,19581,2016,ford,super duty f-350 srw,good,8,diesel,automatic,4wd,truck,50k-100k
others,31990,2019,others,s90 t5 momentum sedan 4d,good,5,other,other,fwd,sedan,20k-50k
others,14000,2002,ford,2002 Trans Am ws6,good,8,gas,automatic,rwd,coupe,100k-150k
others,21518,2013,ford,focus se hatchback,excellent,4,gas,manual,fwd,sedan,100k-150k
others,39590,2012,chevrolet,corvette grand sport,good,8,gas,manual,rwd,convertible,20k-50k
ft myers / SW florida,10900,2013,hyundai,sonata,excellent,4,gas,automatic,4wd,sedan,20k-50k
others,12999,2009,bmw,x5 xdrive30i,good,6,gas,automatic,4wd,sedan,50k-100k
others,21595,2016,mercedes-benz,c-class,good,4,gas,automatic,rwd,sedan,50k-100k
others,14997,2014,ford,mustang,excellent,6,gas,automatic,rwd,convertible,50k-100k
others,39990,2019,others,e-pace p300 r-dynamic se,good,5,other,other,4wd,SUV,0-20k
jacksonville,26590,2014,lexus,is 350 sedan 4d,good,6,gas,other,rwd,sedan,20k-50k
ft myers / SW florida,21518,2002,toyota,camry,good,5,gas,automatic,4wd,sedan,150k-200k
others,21518,1978,dodge,sportsman trans van,excellent,8,gas,automatic,rwd,van,50k-100k
others,8990,2012,subaru,impreza,good,4,gas,automatic,4wd,sedan,100k-150k
south jersey,21518,2007,nissan,murano,good,6,gas,other,4wd,SUV,100k-150k
others,16703,2017,toyota,camry se,good,5,gas,automatic,4wd,sedan,50k-100k
others,8888,2010,nissan,altima,good,4,gas,automatic,fwd,sedan,150k-200k
minneapolis / st paul,19581,2002,chevrolet,monte carlo ls,good,5,gas,automatic,4wd,sedan,100k-150k
san diego,11999,2015,bmw,328d,like new,5,gas,automatic,4wd,sedan,100k-150k
others,30000,2015,ford,f-150 xlt,excellent,6,gas,automatic,4wd,pickup,20k-50k
others,19581,2004,ford,taurus,good,6,gas,automatic,4wd,sedan,150k-200k
grand rapids,37990,2012,ford,super duty f-550 drw,good,8,diesel,automatic,rwd,sedan,100k-150k
others,21518,1954,others,super,excellent,8,gas,automatic,rwd,convertible,0-20k
ft myers / SW florida,22900,2018,chevrolet,colorado,good,5,gas,automatic,rwd,pickup,20k-50k
others,10000,1988,ford,suzuki samurai,good,5,gas,manual,4wd,SUV,100k-150k
others,18426,2007,ford,HUMMER H2,good,8,gas,automatic,4wd,SUV,150k-200k
others,43590,2019,chevrolet,silverado 1500 crew,good,5,other,other,4wd,pickup,0-20k
others,21590,2016,others,countryman cooper s all4,good,5,gas,other,4wd,hatchback,20k-50k
others,21518,2013,ford,escape,good,4,gas,automatic,4wd,SUV,150k-200k
others,29988,2014,jeep,wrangler,like new,6,gas,automatic,4wd,SUV,50k-100k
others,20995,2011,chevrolet,silverado 1500 ltz crew cab 4wd,good,5,gas,automatic,4wd,pickup,100k-150k
others,19581,2015,chevrolet,tahoe,good,8,gas,automatic,4wd,SUV,50k-100k
others,10995,2011,audi,a6,excellent,6,gas,automatic,4wd,sedan,100k-150k
others,32846,2015,ford,f-150 lariat,good,6,gas,automatic,4wd,sedan,100k-150k
others,38999,2017,chevrolet,silverado 1500 ltz crew cab 4wd,good,5,gas,automatic,4wd,pickup,50k-100k
others,41990,2020,ford,mustang gt coupe 2d,good,8,gas,other,rwd,coupe,0-20k
long island,28995,2013,cadillac,escalade,excellent,5,gas,automatic,4wd,SUV,20k-50k
others,19581,2016,hyundai,sonata 2.4l sport,good,4,gas,automatic,fwd,sedan,20k-50k
central NJ,21518,2010,others,mazda3,good,4,gas,automatic,fwd,sedan,100k-150k
others,8995,2012,hyundai,sonata hybrid,excellent,4,hybrid,automatic,fwd,sedan,50k-100k
others,11900,2013,chevrolet,silverado 1500,excellent,6,gas,automatic,rwd,pickup,50k-100k
others,19581,2018,ford,f-250,good,5,diesel,automatic,4wd,pickup,150k-200k
reno / tahoe,19581,2001,others,s type,fair,8,gas,automatic,4wd,sedan,150k-200k
detroit metro,49900,1965,ford,AC SHELBY COBRA,excellent,8,gas,automatic,rwd,convertible,0-20k
others,16995,2011,chevrolet,silverado 1500 lt,like new,8,gas,automatic,4wd,truck,150k-200k
others,40990,2019,chevrolet,camaro ss coupe 2d,good,8,gas,other,rwd,coupe,0-20k
others,21518,2010,toyota,corolla,good,5,gas,automatic,4wd,sedan,100k-150k
raleigh / durham / CH,19581,2008,chevrolet,cobalt,salvage,4,gas,automatic,fwd,sedan,200k-300k
others,21518,2015,ford,f350 super duty larait,good,5,diesel,automatic,4wd,sedan,100k-150k
central NJ,19581,2002,ford,bmw330i,good,5,gas,automatic,4wd,sedan,0-20k
others,33995,2014,chevrolet,silverado,good,5,other,automatic,4wd,pickup,50k-100k
phoenix,12900,2012,ram,1500 quad cab,like new,8,gas,automatic,4wd,pickup,200k-300k
others,21990,2017,others,qx50 sport utility 4d,good,6,other,automatic,4wd,hatchback,20k-50k
others,47955,2015,chevrolet,silverado 3500 high ct,good,5,diesel,automatic,4wd,sedan,150k-200k
others,19581,1998,ford,ranger,good,6,gas,automatic,4wd,pickup,150k-200k
portland,19581,2004,toyota,camry,excellent,4,gas,manual,fwd,sedan,200k-300k
others,19990,2018,others,outlander es sport,good,5,other,automatic,4wd,SUV,0-20k
others,8900,2012,gmc,acadia,like new,6,gas,automatic,4wd,SUV,100k-150k
others,37590,2012,chevrolet,corvette coupe 2d,good,5,other,other,rwd,coupe,20k-50k
others,9876,2014,hyundai,sonata,good,5,gas,automatic,fwd,sedan,100k-150k
tampa bay area,18995,2003,mercedes-benz,sl-class,good,5,gas,automatic,4wd,convertible,50k-100k
long island,19581,2005,jeep,grand cherokee,good,5,gas,automatic,4wd,SUV,150k-200k
others,14000,2008,others,mx-5 miata,excellent,4,gas,automatic,rwd,convertible,20k-50k
others,16000,2009,others,g8 gt,excellent,8,gas,automatic,rwd,sedan,100k-150k
others,8999,2015,ford,escape,good,4,gas,automatic,4wd,SUV,50k-100k
others,11500,2012,toyota,rav4,excellent,6,gas,automatic,rwd,SUV,150k-200k
others,39864,2017,mercedes-benz,glc,good,5,gas,automatic,4wd,sedan,20k-50k
others,16000,2018,hyundai,sonata se,excellent,4,gas,automatic,fwd,sedan,0-20k
others,22995,2012,ford,f-150,good,6,gas,automatic,4wd,truck,50k-100k
others,17990,2015,volkswagen,golf tdi sel,good,5,diesel,other,fwd,sedan,50k-100k
seattle-tacoma,26999,2016,lexus,es350 fwd gas sedan auto,good,5,gas,automatic,fwd,sedan,20k-50k
others,31388,2014,ford,f-150 limited,good,5,gas,automatic,4wd,sedan,0-20k
denver,17990,2019,nissan,leaf s hatchback 4d,good,5,electric,other,fwd,hatchback,20k-50k
north jersey,21985,2014,acura,mdx,good,5,gas,automatic,4wd,other,50k-100k
others,19581,2016,lexus,rx 350,good,6,gas,automatic,fwd,SUV,50k-100k
albuquerque,18990,2017,dodge,grand caravan passenger se,good,6,other,other,fwd,van,20k-50k
sacramento,10988,2013,toyota,corolla le,good,4,gas,automatic,fwd,sedan,100k-150k
others,13300,1978,chevrolet,silverado,good,8,gas,automatic,4wd,pickup,100k-150k
dallas / fort worth,18995,2008,lexus,gx470 4wd,excellent,8,gas,automatic,4wd,SUV,100k-150k
others,26990,2017,others,mx-5 miata grand touring,good,5,gas,other,rwd,convertible,0-20k
others,37990,2019,others,model 3 standard range,good,5,other,other,rwd,sedan,0-20k
others,26990,2014,chevrolet,silverado 1500 crew,good,6,gas,automatic,4wd,pickup,50k-100k
others,35590,2018,others,e-pace p250 se sport,good,5,other,other,4wd,other,0-20k
raleigh / durham / CH,25833,2018,chevrolet,express 3500 15 passenger,excellent,8,gas,automatic,rwd,van,20k-50k
seattle-tacoma,48995,1995,nissan,skyline r33 vspec,excellent,5,gas,manual,4wd,sedan,0-20k
grand rapids,10995,2016,ford,fusion se ecoboost,good,4,gas,automatic,fwd,sedan,100k-150k
others,8995,2011,jeep,patriot,excellent,4,gas,automatic,4wd,SUV,50k-100k
others,29590,2015,lexus,gx 460 sport utility 4d,good,8,gas,automatic,4wd,SUV,50k-100k
los angeles,19581,2012,ford,lamborghini gallardo,like new,10,gas,automatic,rwd,sedan,0-20k
phoenix,19581,2019,toyota,tacoma,good,5,gas,automatic,4wd,sedan,20k-50k
others,26900,2013,chevrolet,silverado 2500hd 4x4 ex-cab short box,good,8,diesel,automatic,4wd,sedan,100k-150k
others,19581,2006,chevrolet,equinox,good,5,gas,automatic,4wd,sedan,150k-200k
others,40990,2017,others,navigator l select sport,good,5,other,automatic,4wd,SUV,20k-50k
san diego,23990,2020,nissan,leaf sv hatchback 4d,good,5,gas,other,fwd,hatchback,0-20k
others,14998,2015,mercedes-benz,b-class,good,5,electric,automatic,fwd,SUV,20k-50k
others,8995,2007,ram,1500,good,5,gas,automatic,4wd,sedan,100k-150k
others,24182,2015,lexus,rx 350,good,6,gas,automatic,4wd,SUV,50k-100k
others,28590,2017,jeep,wrangler sport suv 2d,good,5,other,other,4wd,other,20k-50k
others,7995,2014,ford,focus,good,4,gas,automatic,fwd,sedan,50k-100k
new york city,21518,2011,volkswagen,routan,like new,6,gas,automatic,fwd,mini-van,150k-200k
others,39999,2019,ram,1500 classic warlock,good,5,gas,automatic,4wd,truck,0-20k
others,10998,2019,ford,KAWASAKI NINJA ZX-6R,good,5,gas,automatic,4wd,other,0-20k
others,19581,2017,gmc,sierra 2500hd denali,good,5,diesel,automatic,4wd,sedan,20k-50k
baltimore,21518,1995,ford,firebird trans am,excellent,5,gas,automatic,fwd,sedan,100k-150k
others,36990,2019,honda,ridgeline rtl pickup 4d 5,good,6,gas,other,4wd,pickup,0-20k
central NJ,12495,2016,honda,accord,good,5,gas,automatic,fwd,sedan,50k-100k
chicago,21518,2007,toyota,corolla s,good,5,gas,automatic,4wd,sedan,150k-200k
central NJ,26990,2016,ford,super duty f-750 straight frame,good,8,diesel,automatic,rwd,truck,200k-300k
others,39580,2018,acura,mdx,good,5,gas,automatic,4wd,sedan,50k-100k
others,12590,2013,chevrolet,volt sedan 4d,good,5,hybrid,other,fwd,sedan,50k-100k
others,14990,2017,ford,focus electric hatchback 4d,good,5,electric,other,fwd,hatchback,20k-50k
others,19581,2012,chevrolet,traverse lssuv,excellent,6,gas,automatic,4wd,SUV,100k-150k
long island,19991,2014,jeep,grand+cherokee,excellent,5,gas,automatic,4wd,SUV,50k-100k
denver,37600,2018,nissan,titan,good,5,gas,automatic,4wd,pickup,50k-100k
sacramento,21518,2007,honda,civic,excellent,4,gas,automatic,4wd,sedan,100k-150k
cleveland,15995,2012,gmc,yukon,good,5,gas,automatic,4wd,SUV,100k-150k
san diego,17800,2015,gmc,terrain,good,4,gas,other,fwd,SUV,20k-50k
oklahoma city,17280,2014,ram,1500 slt 1owner 4x4 5.7l well maint runs&drive great!!!,good,8,gas,automatic,4wd,pickup,100k-150k
others,18500,2011,ford,f-150,good,5,gas,automatic,4wd,sedan,150k-200k
others,19581,2018,volkswagen,jetta,good,4,gas,automatic,fwd,sedan,20k-50k
SF bay area,30990,2019,toyota,camry xse sedan 4d,good,5,gas,other,fwd,sedan,0-20k
inland empire,9950,2014,hyundai,elantra,good,5,gas,automatic,4wd,sedan,50k-100k
others,25000,1965,ford,Formula S barracuda,excellent,8,gas,automatic,rwd,coupe,50k-100k
others,7500,1979,chevrolet,malibu,good,5,gas,manual,4wd,sedan,50k-100k
cleveland,21518,1998,cadillac,eldorado,like new,8,gas,automatic,4wd,coupe,100k-150k
phoenix,19581,2014,ram,2500 tradesman,good,5,other,automatic,4wd,other,50k-100k
others,21518,2007,ford,taurus,good,6,gas,automatic,4wd,sedan,150k-200k
others,9995,2014,ford,focus se,good,5,gas,automatic,4wd,sedan,0-20k
inland empire,39995,2020,ford,transit-250,good,5,gas,automatic,rwd,van,20k-50k
others,21518,1999,chevrolet,express cargo van,excellent,8,gas,automatic,rwd,sedan,200k-300k
others,14900,2003,chevrolet,astro van,like new,6,gas,automatic,4wd,van,0-20k
others,43600,2018,gmc,sierra 1500 denali,good,8,gas,other,4wd,pickup,50k-100k
others,24999,2012,mercedes-benz,slk 350,good,6,gas,automatic,rwd,convertible,0-20k
tampa bay area,36995,2016,bmw,x6,good,5,gas,automatic,4wd,SUV,50k-100k
others,19581,2015,ford,peterbilt 389,good,5,diesel,manual,4wd,sedan,500k+
others,26990,2017,ram,promaster cargo 3500 159 wb,good,6,gas,automatic,fwd,van,100k-150k
phoenix,16900,2018,chevrolet,malibu lt turbo,good,4,gas,automatic,4wd,sedan,50k-100k
others,8499,2011,others,fx35,good,5,gas,automatic,4wd,sedan,200k-300k
others,25950,2004,ram,2500,excellent,5,diesel,automatic,4wd,pickup,150k-200k
orlando,21518,2007,others,mkz,like new,6,gas,automatic,fwd,SUV,100k-150k
reno / tahoe,19581,2018,acura,tlx,good,5,other,automatic,4wd,hatchback,20k-50k
others,26995,2012,ford,f-150,good,6,gas,automatic,4wd,truck,100k-150k
others,16500,2007,ford,f350 diesels powerstroke,excellent,8,diesel,automatic,rwd,pickup,100k-150k
others,39590,2020,ford,mustang gt coupe 2d,good,8,gas,other,rwd,coupe,0-20k
others,30590,2017,others,xe 35t r-sport sedan 4d,good,5,other,other,rwd,sedan,0-20k
others,13500,2000,chevrolet,silverado 1500,excellent,5,gas,automatic,4wd,pickup,50k-100k
grand rapids,39950,2013,chevrolet,silverado 2500hd,excellent,8,diesel,automatic,4wd,pickup,50k-100k
oklahoma city,20590,2015,jeep,grand cherokee laredo sport,good,6,gas,other,4wd,other,20k-50k
chicago,19581,2013,hyundai,sonata,excellent,4,gas,automatic,fwd,sedan,50k-100k
others,39950,2011,ford,f-250,excellent,8,diesel,automatic,4wd,truck,100k-150k
des moines,13000,2015,chevrolet,equinox ls,good,5,other,automatic,4wd,other,50k-100k
phoenix,17590,2018,volkswagen,golf tsi s hatchback,good,5,other,other,fwd,sedan,20k-50k
chicago,10500,2008,ford,f-350 super duty,good,8,gas,automatic,rwd,pickup,100k-150k
others,8990,2013,ford,smart fortwo Passion Hatchback,good,5,gas,automatic,rwd,coupe,50k-100k
denver,39500,2013,ford,f750,excellent,6,diesel,automatic,rwd,truck,50k-100k
others,14900,2011,chevrolet,silverado 2500hd,excellent,8,gas,automatic,4wd,truck,200k-300k
others,19581,2005,dodge,grand caravan,good,6,gas,automatic,fwd,sedan,100k-150k
others,8998,2009,ford,f250,good,5,gas,automatic,4wd,sedan,150k-200k
others,18990,2020,chevrolet,spark activ hatchback,good,5,gas,other,fwd,hatchback,0-20k
others,29990,2019,dodge,challenger gt coupe 2d,good,6,gas,other,rwd,coupe,0-20k
others,19581,2015,mercedes-benz,c-class,excellent,10,gas,automatic,4wd,sedan,20k-50k
stockton,16997,2012,others,mx-5,good,5,gas,automatic,4wd,convertible,50k-100k
san diego,21518,2004,mercedes-benz,benz s500,excellent,5,gas,automatic,4wd,sedan,150k-200k
others,26590,2017,kia,k900 premium sedan 4d,good,6,gas,other,rwd,sedan,20k-50k
others,19581,2017,ford,f-150 raptor arizona raptor*rust free*icon level kit*tech pkg*pano roof*newer tires*graphics pkg*like new in&out*non smoker*immaculate interior*heated steering wheel*cooled seats*tailgate step,good,6,gas,automatic,4wd,pickup,50k-100k
others,19581,2017,ford,super duty f-350 srw,good,8,diesel,automatic,4wd,truck,50k-100k
others,19581,2007,honda,civic,good,5,gas,automatic,4wd,coupe,150k-200k
others,19581,2009,ford,e-series cargo e-250,excellent,8,gas,automatic,4wd,pickup,50k-100k
dallas / fort worth,19581,2015,ford,z,excellent,6,gas,automatic,rwd,sedan,0-20k
others,19500,2017,others,q50,excellent,6,gas,automatic,rwd,sedan,50k-100k
others,31990,2014,ford,f350 super duty diesel,excellent,8,diesel,automatic,4wd,truck,100k-150k
others,10995,2013,subaru,xv crosstrek,good,4,gas,other,4wd,wagon,150k-200k
las vegas,30994,2016,bmw,3 series,good,6,gas,automatic,rwd,sedan,20k-50k
dallas / fort worth,19581,2014,ford,AND NEWER ALL MAKES AND MODELS,good,5,gas,automatic,4wd,sedan,50k-100k
others,19581,2019,cadillac,ct6,excellent,6,gas,automatic,4wd,sedan,0-20k
others,22995,2014,gmc,sierra 1500,excellent,8,gas,automatic,4wd,pickup,150k-200k
others,32998,2012,ram,3500,good,5,diesel,automatic,4wd,sedan,100k-150k
others,13500,2007,ford,f-250,good,8,diesel,automatic,4wd,pickup,200k-300k
others,7995,2004,ram,2500,good,5,gas,automatic,4wd,sedan,100k-150k
"kansas city, MO",14995,2017,nissan,sentra,good,4,gas,automatic,fwd,sedan,0-20k
albuquerque,21518,1998,chevrolet,2500,good,5,gas,automatic,4wd,sedan,150k-200k
others,28590,2017,jeep,wrangler sport suv 2d,good,6,gas,other,4wd,other,20k-50k
tampa bay area,30000,2007,ford,hummer h2,excellent,8,gas,automatic,4wd,SUV,100k-150k
others,16990,2015,honda,accord ex-l coupe,excellent,4,gas,automatic,fwd,coupe,20k-50k
others,22875,2017,kia,sportage ex,good,5,other,automatic,fwd,other,20k-50k
others,31590,2020,others,mx-5 miata club,good,5,gas,other,rwd,other,0-20k
portland,12499,2015,subaru,impreza 2.0i limited pack,excellent,5,gas,automatic,4wd,sedan,50k-100k
others,25500,2004,others,911,good,6,gas,manual,4wd,coupe,50k-100k
others,20000,2006,ram,2500,good,6,diesel,automatic,4wd,truck,200k-300k
others,11500,2015,ford,f-150 xlt,good,6,gas,automatic,rwd,truck,50k-100k
minneapolis / st paul,22500,2000,others,trans am ws6,good,5,gas,automatic,4wd,sedan,20k-50k
others,15940,2011,gmc,yukon,good,5,other,automatic,fwd,SUV,100k-150k
others,24995,2015,ford,f-150,good,5,gas,automatic,4wd,pickup,50k-100k
san diego,19581,2020,jeep,cherokee,good,5,gas,automatic,fwd,sedan,0-20k
detroit metro,21518,2005,nissan,murano sl,good,6,gas,automatic,4wd,sedan,150k-200k
others,19581,1996,toyota,camry,good,4,gas,automatic,fwd,sedan,150k-200k
others,36590,2019,gmc,sierra 1500 limited double,good,8,gas,other,4wd,pickup,0-20k
raleigh / durham / CH,21518,2016,ford,focus,good,4,gas,automatic,fwd,sedan,100k-150k
SF bay area,12903,2017,nissan,sentra sv,good,5,gas,automatic,fwd,sedan,50k-100k
others,35590,2018,gmc,sierra 1500 double cab sle,good,5,other,other,4wd,pickup,0-20k
chicago,18990,2015,subaru,brz limited coupe 2d,good,5,other,other,rwd,coupe,50k-100k
chicago,25000,2012,others,vnl 670,good,5,diesel,manual,4wd,sedan,500k+
jacksonville,15999,2017,nissan,rogue sv,excellent,4,gas,automatic,4wd,SUV,50k-100k
tampa bay area,21518,2008,toyota,yaris s,excellent,5,gas,automatic,fwd,sedan,50k-100k
new york city,10500,2014,bmw,x1 xdrive28i,excellent,4,gas,automatic,4wd,SUV,50k-100k
south florida,19581,2007,ford,taurus,good,5,gas,automatic,4wd,sedan,50k-100k
others,23143,2019,honda,civic,good,4,gas,automatic,fwd,sedan,0-20k
others,8495,2011,chevrolet,equinox,excellent,4,gas,automatic,4wd,SUV,50k-100k
others,26990,2017,others,qx60 3.5 sport utility,good,6,gas,automatic,4wd,SUV,20k-50k
others,22988,2008,jeep,wrangler unlimited rubicon,good,6,gas,manual,4wd,other,100k-150k
others,24489,2019,nissan,rogue,good,4,gas,automatic,4wd,SUV,20k-50k
others,24590,2013,gmc,sierra 1500 extended cab slt,good,8,other,other,4wd,pickup,50k-100k
others,39990,2020,ram,1500 crew cab big horn,good,6,gas,automatic,4wd,pickup,0-20k
las vegas,17898,2014,ford,escape,excellent,4,gas,automatic,fwd,SUV,50k-100k
others,27990,2012,gmc,sierra 2500 hd extended cab,good,8,gas,other,4wd,pickup,50k-100k
inland empire,19581,2015,volkswagen,gti,good,5,gas,automatic,fwd,hatchback,50k-100k
others,19581,2011,ford,Odyssey,good,6,gas,automatic,fwd,van,0-20k
central NJ,21518,2004,ford,expedition,good,8,gas,automatic,4wd,SUV,100k-150k
others,21518,2018,ford,f150 lariat fx4 4x4 1/2 ton,good,5,gas,automatic,4wd,truck,0-20k
south florida,8900,2015,kia,optima,excellent,4,gas,automatic,fwd,sedan,100k-150k
columbus,10990,2001,ford,isuzu npr hd,good,5,diesel,automatic,4wd,sedan,200k-300k
others,21518,2008,toyota,corolla,excellent,4,gas,automatic,fwd,sedan,100k-150k
others,36995,2017,ford,f-150,good,5,gas,automatic,rwd,pickup,20k-50k
others,25990,2017,others,xe 20d sedan 4d,good,5,gas,other,4wd,sedan,0-20k
milwaukee,21518,2005,others,cooper,like new,4,gas,automatic,fwd,hatchback,50k-100k
atlanta,21518,2012,honda,civic,good,5,gas,automatic,4wd,sedan,100k-150k
others,19900,2019,ford,ecosport se,good,5,other,automatic,4wd,other,0-20k
others,32500,2003,nissan,350z,good,6,gas,manual,rwd,coupe,100k-150k
others,49899,2016,chevrolet,silverado 3500hd,excellent,5,gas,automatic,4wd,pickup,100k-150k
others,38590,2019,acura,mdx sh-awd w/technology,good,5,other,other,4wd,other,0-20k
others,9500,2016,toyota,corolla,good,5,gas,automatic,fwd,sedan,100k-150k
portland,39995,2016,jeep,wrangler,good,5,gas,automatic,4wd,sedan,20k-50k
others,21518,2010,nissan,rogue,good,5,gas,automatic,4wd,sedan,150k-200k
grand rapids,39995,2013,ford,IC Corporation,good,5,gas,automatic,4wd,sedan,20k-50k
others,26995,2019,toyota,highlander,good,6,gas,automatic,fwd,SUV,20k-50k
others,8500,2008,toyota,sienna limited,excellent,6,gas,automatic,fwd,mini-van,150k-200k
others,7995,2016,chevrolet,cruze,good,5,gas,automatic,4wd,sedan,100k-150k
SF bay area,7700,2005,toyota,sienna xle awd,good,5,gas,automatic,4wd,sedan,150k-200k
others,21518,2014,chevrolet,silverado duramax hd,good,5,diesel,automatic,4wd,truck,50k-100k
others,21518,1998,ram,1500,good,8,gas,automatic,4wd,pickup,150k-200k
others,29995,2017,gmc,sierra,good,5,gas,automatic,4wd,pickup,100k-150k
raleigh / durham / CH,21518,2009,dodge,grand caravan sxt,good,6,gas,automatic,fwd,mini-van,150k-200k
rochester,26995,2014,ford,super duty f-350 drw xl,good,8,other,automatic,rwd,pickup,50k-100k
others,28990,2018,others,qx60 3.5 sport utility,good,6,gas,other,fwd,SUV,20k-50k
ft myers / SW florida,19581,2018,ford,f-350,good,5,diesel,automatic,4wd,pickup,20k-50k
